date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Beans,Beets,Blackberries,Blueberries,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carrots,Cauliflower,Celery,Cherries,Corn,Cranberries,Cucumber,Dates,Eggplant,Fennel,Figs,Garlic,Grapefruit,Grapes,Green Beans,Greens,Guava,Iceberg Lettuce,Kale,Leeks,Lemons,Lettuce,Lychee,Mangos,Mushrooms,Okra,Onion,Oranges,Passion Fruit,Peaches,Pears,Peas,Peppers,Pineapple,Plums,Pomegranate,Prunes,Pumpkin,Quince,Raisins,Raspberries,Rhubarb,Romaine Lettuce,Shallots,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tomato,Turnip,Watercress,Watermelon,Yams,Cassava
2010-10-01,25,0,16,78,0,23,16,0,0,0,0,0,0,0,0,0,19,0,0,100,0,0,21,0,0,30,0,16,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,37,0,0,0,0,59,34,0,0,62,29,0,0,30,0,0
2010-11-01,6,32,0,0,10,7,0,0,0,0,8,0,18,17,18,0,0,0,0,32,0,0,7,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,6,0,18,6,0,6,0,29,0,20,0,0,0,0,0,0,19,11,0,0,20,9,0,0,10,0,0
2010-12-01,5,0,0,0,6,7,3,0,0,0,0,40,12,0,0,0,4,0,0,0,13,12,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,0,0,0,0,8,0,0,8,19,4,0,0,0,0,8,0,0,0,0,0,12,7,3,0,0,18,0,0,3,0,0
2011-01-01,11,0,7,0,0,5,7,0,0,0,11,0,0,0,0,0,0,0,0,0,27,0,9,0,0,7,0,0,0,0,14,0,0,0,0,7,0,0,0,0,0,0,0,40,0,0,0,9,0,40,0,27,0,0,0,0,0,0,0,0,7,0,0,13,35,0,7,0,0
2011-02-01,11,0,0,0,29,0,11,0,0,0,11,0,0,0,0,0,0,0,33,0,0,0,0,0,0,10,0,0,26,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,26,0,0,9,0,0,0,0,0,17,0,0,0,0,54,0,0,18,0,13,37,0,7,0,0
2011-03-01,8,0,0,0,13,9,6,0,0,0,10,0,24,0,47,8,8,16,45,0,25,0,9,0,0,0,25,6,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,24,14,6,0,0,12,34,0,0,0,0
2011-04-01,8,0,10,0,27,10,7,0,0,0,0,0,24,22,24,0,0,16,0,0,0,0,9,37,8,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,31,11,0,0,0,0,40,8,23,0,0,13,0,0,0,0,0,0,25,0,6,0,26,12,0,100,6,0,0
2011-05-01,15,40,6,0,12,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,8,0,8,0,0,0,0,0,0,0,0,0,0,6,0,34,0,0,29,0,0,0,0,0,0,8,21,36,13,0,0,14,0,0,0,0,23,27,0,0,0,0,0,0,10,0,0
2011-06-01,15,0,0,0,19,7,6,0,0,0,10,0,0,0,23,8,0,15,0,0,25,0,0,0,0,9,0,6,0,0,0,0,41,0,9,0,23,0,0,0,0,0,8,0,0,0,0,8,0,0,13,0,0,0,0,0,0,0,0,14,0,0,0,12,0,0,6,0,0
2011-07-01,8,0,0,32,13,11,6,0,0,0,0,0,0,0,0,0,8,0,0,0,25,24,0,0,0,0,0,6,0,0,13,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,24,0,0,0,0,12,0,0,12,0,0
