date,Apple,Apricot,Artichoke,Avocado,Banana,Beans,Boniato,Broccoli,Cabbage,Carambola,Celery,Chayote,Corn,Cranberries,Cucumber,Garlic,Grapefruit,Greens,Guava,Jicama,Kale,Lettuce,Mangos,Okra,Onion,Passion Fruit,Peaches,Pears,Peas,Peppers,Pineapple,Pomegranate,Potatoes,Pumpkin,Squash,Tomato,Watermelon,Cassava
2014-07-01,0,0,0,0,15,0,0,10,0,8,0,73,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,66,0,0,0,0,0,3,0
2014-08-01,13,0,0,0,12,0,0,0,0,4,0,71,0,0,0,0,0,0,0,0,0,77,0,0,0,45,0,0,0,0,0,0,0,0,0,0,6,0
2014-09-01,12,9,61,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,75,0,3,0
2014-10-01,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,2,0,72,10,3,0
2014-11-01,19,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,76,8,0,0,0,0,0,0,0,0,0,0,57,0,0,3,0
2014-12-01,0,0,0,0,6,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,46,0,0,1,0,67,0,0,0,0,0,0,0
2015-01-01,0,0,0,0,12,9,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,75,12,0,0,0,0,0,0,0,0,0,4,57,0,10,3,0
2015-02-01,0,0,0,0,18,0,0,0,0,5,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,60,80,11,0,0
2015-03-01,0,0,0,0,13,16,0,0,0,4,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-01,0,0,0,0,9,0,67,9,0,2,0,0,0,0,0,0,0,45,0,0,49,0,7,0,65,41,0,0,0,0,0,0,2,52,0,9,0,0
2015-05-01,11,0,0,0,13,8,0,0,0,2,9,0,0,0,0,0,43,0,0,0,0,0,0,0,63,0,0,0,0,9,0,47,0,0,0,0,0,0
2015-06-01,0,0,0,0,14,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,9,0,0
2015-07-01,32,0,0,0,12,0,0,0,71,2,0,0,0,7,0,0,0,0,0,0,0,63,0,0,0,0,100,0,0,0,0,0,0,0,0,0,2,0
2015-08-01,10,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,30,0,43,0,0,0,0,36,0,0,0,0,0,0,2,0,0,0,3,0
2015-09-01,10,7,0,0,14,0,0,7,0,1,0,0,0,0,0,0,0,0,30,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,59,8,0,0
2015-10-01,10,0,0,0,21,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,45,59,8,0,0
2015-11-01,10,0,100,0,15,0,0,8,0,1,0,0,0,6,59,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0
2015-12-01,11,0,0,0,12,0,0,9,0,2,0,0,0,0,0,51,44,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2016-01-01,22,0,0,0,12,8,0,0,0,8,0,0,9,0,63,50,0,0,0,0,0,67,7,0,0,40,0,0,0,0,57,0,0,0,0,9,0,0
