date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Beans,Beets,Blueberries,Broccoli,Cabbage,Cantaloupe,Carrots,Cauliflower,Celery,Cherries,Coconuts,Corn,Cranberries,Cucumber,Dates,Eggplant,Fennel,Garlic,Grapefruit,Grapes,Greens,Guava,Kale,Lemons,Lettuce,Limes,Lychee,Mangos,Mushrooms,Napa,Okra,Onion,Oranges,Passion Fruit,Peaches,Pears,Peas,Peppers,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Pumpkin,Raisins,Romaine Lettuce,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tangerines,Tomato,Watermelon,Yams,Cassava
2010-06-01,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
2010-07-01,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
2010-08-01,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,26,0,0,0,0,0
2010-09-01,22,0,18,0,0,21,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,85,0,0,0,0,31,0,0
2010-10-01,21,0,18,0,22,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,21,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,47,0,0,0,0,0,0,0,0,31,0,0
2010-11-01,20,0,0,0,0,20,0,0,0,0,0,0,0,0,91,0,0,0,0,87,0,0,20,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,47,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,20,0,16,0,0,30,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,63,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,10,57,0,13,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,12,20,0,0,0,0,0,0,0,19,0,50,0,30,0,31,0,0,0
2011-02-01,28,0,11,0,29,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,15,35,0,0,31,0,0,0,52,0,0,0,0,0,0,0,0,0,0,38,13,21,0,44,0,12,22,0,0,0,25,0,25,0,0,0,19,0,0
2011-03-01,25,0,0,0,13,12,15,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,0,0
2011-04-01,26,0,10,57,0,12,15,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,32,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,11,20,0,0,18,0,99,0,15,0,0,0,0,0
2011-05-01,13,0,0,0,0,24,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,48,0,0,0,0,0,0,0,0,0,0,0,12,39,0,0,0,21,0,0,0,18,0,48,0,0,0,0,18,0,0
2011-06-01,28,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,30,57,0,0,0,0,0,53,44,0,0,0,36,0,0,0,11,0,0,0,0,0,0,0,16,0,0,39,0,38
2011-07-01,16,0,13,0,17,31,0,0,100,0,0,0,0,0,0,61,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,13,25,0,0,0,0,0,0,0,0,0,23,0,0
